XCoord,YCoord,START_NODE,END_NODE,EDGE
-117.02894500,32.54250200,1,2,1
-117.02905300,32.54287300,2,1,1
-117.02905300,32.54287300,2,3,2
-117.02905300,32.54287300,2,3,3
-117.02905300,32.54287300,2,8,4
-117.02905300,32.54287300,2,8,5
-117.02845800,32.54255700,3,2,2
-117.02845800,32.54255700,3,2,3
-117.03130700,32.54436700,8,2,4
-117.03130700,32.54436700,8,2,5
-117.03339500,32.54474900,11,12,6
-117.03339500,32.54474900,11,12,7
-117.03339500,32.54474900,11,21,11
-117.03339500,32.54474900,11,21,12
-117.03339500,32.54474900,11,21,13
-117.03339500,32.54474900,11,21,14
-117.02954300,32.54218100,12,11,6
-117.02954300,32.54218100,12,11,7
-117.02947700,32.54228700,15,16,8
-117.02947700,32.54228700,15,16,9
-117.03424600,32.54570800,16,15,8
-117.03424600,32.54570800,16,15,9
-117.03424600,32.54570800,16,20,10
-117.03424600,32.54570800,16,29,17
-117.03424600,32.54570800,16,29,18
-117.03494500,32.54620500,20,16,10
-117.03494500,32.54620500,20,38,19
-117.03494500,32.54620500,20,38,20
-117.04043500,32.54932500,21,11,11
-117.04043500,32.54932500,21,11,12
-117.04043500,32.54932500,21,11,13
-117.04043500,32.54932500,21,11,14
-117.04043500,32.54932500,21,29,15
-117.04043500,32.54932500,21,29,16
-117.04043500,32.54932500,21,53,27
-117.04043500,32.54932500,21,53,28
-117.04061600,32.54968400,29,21,15
-117.04061600,32.54968400,29,21,16
-117.04061600,32.54968400,29,16,17
-117.04061600,32.54968400,29,16,18
-117.04061600,32.54968400,29,58,30
-117.04061600,32.54968400,29,58,31
-117.04061600,32.54968400,29,79,40
-117.04061600,32.54968400,29,79,41
-117.04061700,32.55138900,38,20,19
-117.04061700,32.55138900,38,20,20
-117.04061700,32.55138900,38,78,39
-116.93847700,32.55181600,41,42,21
-116.93847700,32.55181600,41,42,22
-116.93847700,32.55181600,41,88,50
-116.93829600,32.55035800,42,41,21
-116.93829600,32.55035800,42,41,22
-116.93917400,32.55210300,45,46,23
-116.93917400,32.55210300,45,46,24
-116.93917400,32.55210300,45,78,49
-116.93899200,32.55020000,46,45,23
-116.93899200,32.55020000,46,45,24
-116.94597700,32.56407900,49,50,25
-116.93078800,32.56372300,50,49,25
-116.93087800,32.56406000,51,52,26
-116.94694700,32.56424900,52,51,26
-117.07328500,32.56496200,53,21,27
-117.07328500,32.56496200,53,21,28
-117.07328500,32.56496200,53,58,29
-117.07328500,32.56496200,53,63,32
-117.07328500,32.56496200,53,63,33
-117.07328500,32.56496200,53,63,34
-117.07306200,32.56506500,58,53,29
-117.07306200,32.56506500,58,29,30
-117.07306200,32.56506500,58,29,31
-117.07306200,32.56506500,58,69,36
-117.07306200,32.56506500,58,69,37
-117.07306200,32.56506500,58,76,38
-117.07376000,32.56532100,63,53,32
-117.07376000,32.56532100,63,53,33
-117.07376000,32.56532100,63,53,34
-117.07376000,32.56532100,63,69,35
-117.07376000,32.56532100,63,105,53
-117.07376000,32.56532100,63,105,54
-117.07356100,32.56548600,69,63,35
-117.07356100,32.56548600,69,58,36
-117.07356100,32.56548600,69,58,37
-117.07356100,32.56548600,69,89,48
-117.07356100,32.56548600,69,110,55
-117.07356100,32.56548600,69,110,56
-117.06965000,32.56647200,76,58,38
-117.04048200,32.56801300,78,38,39
-117.04048200,32.56801300,78,79,42
-117.04048200,32.56801300,78,88,44
-117.04048200,32.56801300,78,45,49
-117.04080100,32.56801700,79,29,40
-117.04080100,32.56801700,79,29,41
-117.04080100,32.56801700,79,78,42
-117.04080100,32.56801700,79,85,43
-117.04080100,32.56801700,79,89,45
-117.04080100,32.56801700,79,89,46
-117.06966400,32.56648100,85,79,43
-117.04040500,32.56836100,88,78,44
-117.04040500,32.56836100,88,89,47
-117.04040500,32.56836100,88,41,50
-117.04040500,32.56836100,88,146,73
-117.04072100,32.56837300,89,79,45
-117.04072100,32.56837300,89,79,46
-117.04072100,32.56837300,89,88,47
-117.04072100,32.56837300,89,69,48
-117.04072100,32.56837300,89,121,61
-117.04072100,32.56837300,89,121,62
-116.62763000,32.57768500,101,102,51
-116.62763000,32.57768500,101,103,52
-116.62763000,32.57768500,101,125,63
-116.62747100,32.57638200,102,101,51
-116.62756700,32.57833000,103,101,52
-117.08755000,32.58379800,105,63,53
-117.08755000,32.58379800,105,63,54
-117.08755000,32.58379800,105,115,58
-117.08755000,32.58379800,105,115,59
-117.08755000,32.58379800,105,133,67
-117.08755000,32.58379800,105,133,68
-117.08730100,32.58393200,110,69,55
-117.08730100,32.58393200,110,69,56
-117.08730100,32.58393200,110,113,57
-117.08730100,32.58393200,110,115,60
-117.08730100,32.58393200,110,153,79
-117.08730100,32.58393200,110,153,80
-117.08652400,32.58391600,113,110,57
-117.08756000,32.58393500,115,105,58
-117.08756000,32.58393500,115,105,59
-117.08756000,32.58393500,115,110,60
-117.08756000,32.58393500,115,138,69
-117.08756000,32.58393500,115,149,75
-117.08756000,32.58393500,115,149,76
-117.03646700,32.59086900,121,89,61
-117.03646700,32.59086900,121,89,62
-117.03646700,32.59086900,121,171,86
-116.64334500,32.59786000,125,101,63
-116.64334500,32.59786000,125,128,65
-116.64334500,32.59786000,125,128,66
-116.64334500,32.59786000,125,229,115
-116.64334500,32.59786000,125,229,116
-116.47415700,32.60815600,127,128,64
-116.48243700,32.60592300,128,127,64
-116.48243700,32.60592300,128,125,65
-116.48243700,32.60592300,128,125,66
-117.13646200,32.62094200,133,105,67
-117.13646200,32.62094200,133,105,68
-117.13646200,32.62094200,133,139,70
-117.13646200,32.62094200,133,139,71
-117.13646200,32.62094200,133,139,72
-117.13654900,32.62166700,138,115,69
-117.13897300,32.62857600,139,133,70
-117.13897300,32.62857600,139,133,71
-117.13897300,32.62857600,139,133,72
-117.13897300,32.62857600,139,393,197
-117.13897300,32.62857600,139,393,198
-117.04353700,32.62895900,146,88,73
-117.04353700,32.62895900,146,148,74
-117.04353700,32.62895900,146,174,88
-116.99045900,32.63882800,148,146,74
-116.99045900,32.63882800,148,162,81
-116.99045900,32.63882800,148,222,112
-117.10012100,32.63945900,149,115,75
-117.10012100,32.63945900,149,115,76
-117.10012100,32.63945900,149,153,77
-117.10012100,32.63945900,149,153,78
-117.10012100,32.63945900,149,340,172
-117.10012100,32.63945900,149,340,173
