OBJECTID,Join_Count,TARGET_FID,JOIN_FID,FID_tl_2017_06_prisecroads_Disso,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length
1,1,1,1596,1,1105078975119,I- 5,I,S1100,0.000386400260150
2,1,1,1597,1,1105078951498,San Diego Fwy,M,S1100,0.000386400260150
3,1,2,1602,1,1105078810468,San Diego Fwy,M,S1100,0.000673953979568
4,1,2,3822,1,1105078810436,I- 5,I,S1100,0.000673953979568
5,1,3,1602,2,1105078810468,San Diego Fwy,M,S1100,0.000673953979568
6,1,3,3822,2,1105078810436,I- 5,I,S1100,0.000673953979568
7,1,4,1598,1,1105078951497,San Diego Fwy,M,S1100,0.002851913604224
8,1,4,5333,1,1105078975118,I- 5,I,S1100,0.002851913604224
9,1,5,1598,2,1105078951497,San Diego Fwy,M,S1100,0.002851913604224
10,1,5,5333,2,1105078975118,I- 5,I,S1100,0.002851913604224
11,1,6,529,1,1106072568386,San Diego Fwy,M,S1100,0.004630391736998
12,1,6,3460,1,1104471909281,I- 5,I,S1100,0.004630391736998
13,1,7,529,2,1106072568386,San Diego Fwy,M,S1100,0.004630391736998
14,1,7,3460,2,1104471909281,I- 5,I,S1100,0.004630391736998
15,1,8,2721,1,1106072568570,San Diego Fwy,M,S1100,0.005872219242189
16,1,8,5003,1,1104474157403,I- 5,I,S1100,0.005872219242189
17,1,9,2721,2,1106072568570,San Diego Fwy,M,S1100,0.005872219242189
18,1,9,5003,2,1104474157403,I- 5,I,S1100,0.005872219242189
19,1,10,636,1,1104483424018,I- 805,I,S1100,0.000857677233203
20,1,11,850,1,1106072572208,Jacob Dekema Fwy,M,S1100,0.008502887411141
21,1,11,4531,1,1104482954598,I- 805,I,S1100,0.008502887411141
22,1,12,850,2,1106072572208,Jacob Dekema Fwy,M,S1100,0.008502887411141
23,1,12,4531,2,1104482954598,I- 805,I,S1100,0.008502887411141
24,1,13,529,1,1106072568386,San Diego Fwy,M,S1100,0.008398928912839
25,1,13,3460,1,1104471909281,I- 5,I,S1100,0.008398928912839
26,1,14,529,2,1106072568386,San Diego Fwy,M,S1100,0.008398928912839
27,1,14,3460,2,1104471909281,I- 5,I,S1100,0.008398928912839
28,1,15,850,1,1106072572208,Jacob Dekema Fwy,M,S1100,0.000402354855600
29,1,15,4531,1,1104482954598,I- 805,I,S1100,0.000402354855600
30,1,16,850,2,1106072572208,Jacob Dekema Fwy,M,S1100,0.000402354855600
31,1,16,4531,2,1104482954598,I- 805,I,S1100,0.000402354855600
32,1,17,2721,1,1106072568570,San Diego Fwy,M,S1100,0.007511040796956
33,1,17,5003,1,1104474157403,I- 5,I,S1100,0.007511040796956
34,1,18,2721,2,1106072568570,San Diego Fwy,M,S1100,0.007511040796956
35,1,18,5003,2,1104474157403,I- 5,I,S1100,0.007511040796956
36,1,19,636,1,1104483424018,I- 805,I,S1100,0.007761748899812
37,1,19,637,1,1106087698657,Jacob Dekema Fwy,M,S1100,0.007761748899812
38,1,19,5332,1,110686151157,Inland Fwy,M,S1100,0.007761748899812
39,1,20,636,2,1104483424018,I- 805,I,S1100,0.007761748899812
40,1,20,637,2,1106087698657,Jacob Dekema Fwy,M,S1100,0.007761748899812
41,1,20,5332,2,110686151157,Inland Fwy,M,S1100,0.007761748899812
42,1,21,3059,1,1104477909876,Pso Internacional,M,S1200,0.001470575862326
43,1,21,5952,1,1105319714145,State Rte 905,S,S1200,0.001470575862326
44,1,22,3059,2,1104477909876,Pso Internacional,M,S1200,0.001470575862326
45,1,22,5952,2,1105319714145,State Rte 905,S,S1200,0.001470575862326
46,1,23,857,1,1104477909875,Pso Internacional,M,S1200,0.001912533140613
47,1,23,2270,1,1105317213016,State Rte 905,S,S1200,0.001912533140613
48,1,23,5340,1,1104258227072,State Hwy 905,S,S1200,0.001912533140613
49,1,24,857,2,1104477909875,Pso Internacional,M,S1200,0.001912533140613
50,1,24,2270,2,1105317213016,State Rte 905,S,S1200,0.001912533140613
51,1,24,5340,2,1104258227072,State Hwy 905,S,S1200,0.001912533140613
52,1,25,5344,2,1106048206346,State Rte 11,S,S1100,0.015194778083383
53,1,26,2389,1,1106048350799,State Rte 11,S,S1100,0.016072656175783
54,1,27,529,1,1106072568386,San Diego Fwy,M,S1100,0.036491826976203
55,1,27,3460,1,1104471909281,I- 5,I,S1100,0.036491826976203
56,1,28,529,2,1106072568386,San Diego Fwy,M,S1100,0.036491826976203
57,1,28,3460,2,1104471909281,I- 5,I,S1100,0.036491826976203
58,1,29,5952,2,1105319714145,State Rte 905,S,S1200,0.000245637589807
59,1,30,2721,1,1106072568570,San Diego Fwy,M,S1100,0.036015124242596
60,1,30,5003,1,1104474157403,I- 5,I,S1100,0.036015124242596
61,1,31,2721,2,1106072568570,San Diego Fwy,M,S1100,0.036015124242596
62,1,31,5003,2,1104474157403,I- 5,I,S1100,0.036015124242596
63,1,32,5952,2,1105319714145,State Rte 905,S,S1200,0.008815415615323
64,1,33,529,1,1106072568386,San Diego Fwy,M,S1100,0.000595406961550
65,1,33,3460,1,1104471909281,I- 5,I,S1100,0.000595406961550
66,1,34,529,2,1106072568386,San Diego Fwy,M,S1100,0.000595406961550
67,1,34,3460,2,1104471909281,I- 5,I,S1100,0.000595406961550
68,1,35,5952,2,1105319714145,State Rte 905,S,S1200,0.000258507085176
69,1,36,2721,1,1106072568570,San Diego Fwy,M,S1100,0.000652935341518
70,1,36,5003,1,1104474157403,I- 5,I,S1100,0.000652935341518
71,1,37,2721,2,1106072568570,San Diego Fwy,M,S1100,0.000652935341518
72,1,37,5003,2,1104474157403,I- 5,I,S1100,0.000652935341518
73,1,38,5952,2,1105319714145,State Rte 905,S,S1200,0.003691156690639
74,1,39,636,1,1104483424018,I- 805,I,S1100,0.017055879811557
75,1,39,637,1,1106087698657,Jacob Dekema Fwy,M,S1100,0.017055879811557
76,1,40,850,1,1106072572208,Jacob Dekema Fwy,M,S1100,0.018778849468488
77,1,40,4531,1,1104482954598,I- 805,I,S1100,0.018778849468488
78,1,41,850,2,1106072572208,Jacob Dekema Fwy,M,S1100,0.018778849468488
79,1,41,4531,2,1104482954598,I- 805,I,S1100,0.018778849468488
80,1,42,2270,1,1105317213016,State Rte 905,S,S1200,0.000319060436921
81,1,43,2270,1,1105317213016,State Rte 905,S,S1200,0.029157126467618
