OBJECTID,FID_tl_2017_06_prisecroads_Disso,ORIG_FID
5251,1,2626
5262,1,2631
5279,2,2640
5282,1,2641
5284,1,2642
5286,1,2643
5290,1,2645
5301,1,2651
5303,2,2652
5304,2,2652
5307,2,2654
5311,2,2656
5316,1,2658
5383,1,2692
5390,1,2695
5395,1,2698
5403,1,2702
5437,2,2719
5447,1,2724
5454,1,2727
5465,2,2733
5521,2,2761
5531,1,2766
5537,2,2769
5539,1,2770
5547,1,2774
5559,1,2780
5565,1,2783
5574,1,2787
5580,2,2790
5582,1,2791
5587,1,2794
5690,1,2845
5694,2,2847
5696,2,2848
5698,1,2849
5701,1,2851
5702,1,2851
5704,1,2852
5707,1,2854
5708,1,2854
5709,1,2855
5714,1,2857
5721,1,2861
5726,1,2863
5729,1,2865
5740,1,2870
5745,2,2873
5746,2,2873
5754,1,2877
5761,1,2881
5814,1,2907
5839,1,2920
5844,1,2922
5850,1,2925
5855,1,2928
5859,1,2930
6030,1,3015
6064,1,3032
6163,1,3082
6168,1,3084
6178,1,3089
6183,1,3092
6184,1,3092
6195,1,3098
6246,2,3123
6269,1,3135
6274,1,3137
