OBJECTID,FID_tl_2017_06_prisecroads_Disso,ORIG_FID
17766,2,8883
17767,2,8884
17774,2,8887
17775,2,8888
17788,1,8894
17792,1,8896
17793,2,8897
17799,2,8900
17806,1,8903
17814,1,8907
17822,2,8911
17828,2,8914
17834,2,8917
17840,2,8920
17845,2,8923
17850,1,8925
17875,2,8938
17888,1,8944
17892,1,8946
17893,1,8947
17902,1,8951
17908,1,8954
17917,1,8959
17925,1,8963
17931,1,8966
17941,1,8971
17945,1,8973
17951,2,8976
17955,2,8978
17961,1,8981
17967,1,8984
17968,1,8984
17974,1,8987
17978,1,8989
17980,1,8990
18001,2,9001
18004,1,9002
18008,1,9004
18016,1,9008
18019,2,9010
18028,1,9014
18032,1,9016
18036,1,9018
