OBJECTID,FID_tl_2017_06_prisecroads_Disso,ORIG_FID
309,1,155
331,2,166
332,2,166
333,1,167
334,1,167
337,2,169
340,1,170
347,1,174
348,1,174
354,1,177
362,1,181
387,1,194
393,1,197
399,1,200
401,1,201
409,1,205
420,1,210
423,1,212
427,1,214
432,1,216
437,1,219
440,1,220
463,1,232
464,1,232
470,1,235
477,1,239
478,1,239
482,1,241
488,1,244
494,1,247
500,1,250
504,1,252
507,2,254
508,2,254
510,1,255
513,1,257
519,2,260
521,1,261
550,1,275
556,1,278
560,1,280
566,1,283
623,2,312
629,2,315
630,2,315
651,1,326
652,1,326
655,1,328
660,2,330
674,1,337
677,1,339
686,1,343
708,2,354
712,2,356
715,1,358
721,1,361
738,2,369
740,1,370
744,2,372
747,1,374
755,1,378
762,1,381
834,2,417
840,2,420
846,1,423
850,1,425
861,2,431
885,2,443
913,1,457
914,1,457
924,1,462
929,2,465
936,1,468
939,2,470
943,1,472
944,1,472
989,2,495
