OBJECTID,FID_tl_2017_06_prisecroads_Disso,ORIG_FID
13659,1,6830
13663,1,6832
13691,2,6846
13704,2,6852
13708,2,6854
13711,1,6856
13716,1,6858
13722,2,6861
13734,1,6867
13743,2,6872
13764,2,6882
13767,1,6884
13768,1,6884
13773,1,6887
13778,2,6889
13781,1,6891
13788,2,6894
13807,2,6904
13809,1,6905
13823,1,6912
13825,1,6913
13858,1,6929
13885,1,6943
13887,1,6944
13892,1,6946
13904,2,6952
13910,2,6955
13916,1,6958
13922,1,6961
13929,1,6965
13934,1,6967
13937,1,6969
13942,1,6971
13946,1,6973
13950,1,6975
13951,1,6976
13956,2,6978
13961,1,6981
13966,2,6983
13972,2,6986
