JOIN_FID,TARGET_FID_1,ITEM58,ITEM59,ITEM60,NODE1,NODE2,FLOW,MIN_VAL
352,195058,4,8,7,455,704,0.000000000000000,4
352,195059,7,7,7,455,704,0.000000000000000,7
4626,195496,5,7,6,9217,9251,0.210280374000000,5
4629,195497,5,7,6,9218,9254,0.471962617000000,5
4629,195498,6,7,6,9218,9254,0.471962617000000,6
4626,195499,5,7,6,9217,9251,0.210280374000000,5
4626,195500,6,7,6,9217,9251,0.210280374000000,6
4629,195501,6,7,6,9218,9254,0.471962617000000,6
4626,195502,6,7,6,9217,9251,0.210280374000000,6
4629,195503,5,7,6,9218,9254,0.471962617000000,5
4629,195504,6,6,6,9218,9254,0.471962617000000,6
4626,195505,4,7,6,9217,9251,0.210280374000000,4
5136,195506,6,7,6,9826,10272,0.271028037000000,6
5138,195507,6,7,6,9829,10275,0.261682243000000,6
5136,195508,5,7,6,9826,10272,0.271028037000000,5
5138,195509,7,7,6,9829,10275,0.261682243000000,6
5136,195510,7,7,7,9826,10272,0.271028037000000,7
5138,195511,7,7,6,9829,10275,0.261682243000000,6
4578,195512,3,6,6,9152,9156,0.000000000000000,3
4581,195513,7,7,7,9158,9162,0.000000000000000,7
4578,195514,7,7,6,9152,9156,0.000000000000000,6
4578,195515,7,7,7,9152,9156,0.000000000000000,7
4581,195516,7,7,6,9158,9162,0.000000000000000,6
4581,195517,7,7,7,9158,9162,0.000000000000000,7
4578,195518,7,7,7,9152,9156,0.000000000000000,7
4581,195519,7,7,6,9158,9162,0.000000000000000,6
4578,195520,7,7,5,9152,9156,0.000000000000000,5
4578,195521,7,7,6,9152,9156,0.000000000000000,6
4581,195522,7,7,5,9158,9162,0.000000000000000,5
4581,195523,7,7,6,9158,9162,0.000000000000000,6
4578,195524,7,7,6,9152,9156,0.000000000000000,6
4581,195525,7,7,6,9158,9162,0.000000000000000,6
4581,195526,7,7,6,9158,9162,0.000000000000000,6
4581,195527,7,7,6,9158,9162,0.000000000000000,6
4578,195528,7,7,6,9152,9156,0.000000000000000,6
5136,195529,6,7,7,9826,10272,0.271028037000000,6
4581,195530,N,N,N,9158,9162,0.000000000000000,0
