JOIN_FID,TARGET_FID_1,ITEM58,ITEM59,ITEM60,NODE1,NODE2,FLOW,MIN_VAL,HEURISTIC
352,195058,4,8,7,455,704,0,4.,0.49109078042489707
352,195059,7,7,7,455,704,0,7.,0.3385796515509009
4626,195496,5,7,6,9217,9251,0.210280374,5.,0.6162410231598319
4629,195497,5,7,6,9218,9254,0.471962617,5.,0.793800429703387
4629,195498,6,7,6,9218,9254,0.471962617,6.,0.7447913070108936
4626,195499,5,7,6,9217,9251,0.210280374,5.,0.6162410231598319
4626,195500,6,7,6,9217,9251,0.210280374,6.,0.5672319004673385
4629,195501,6,7,6,9218,9254,0.471962617,6.,0.7447913070108936
4626,195502,6,7,6,9217,9251,0.210280374,6.,0.5672319004673385
4629,195503,5,7,6,9218,9254,0.471962617,5.,0.793800429703387
4629,195504,6,6,6,9218,9254,0.471962617,6.,0.7447913070108936
4626,195505,4,7,6,9217,9251,0.210280374,4.,0.6878574125402593
5136,195506,6,7,6,9826,10272,0.271028037,6.,0.6492327017276365
5138,195507,6,7,6,9829,10275,0.261682243,6.,0.6382072947526294
5136,195508,5,7,6,9826,10272,0.271028037,5.,0.6982418244201299
5138,195509,7,7,6,9829,10275,0.261682243,6.,0.6382072947526294
5136,195510,7,7,7,9826,10272,0.271028037,7.,0.6173470849265613
5138,195511,7,7,6,9829,10275,0.261682243,6.,0.6382072947526294
4578,195512,3,6,6,9152,9156,0,3.,0.5715453927214246
4581,195513,7,7,7,9158,9162,0,7.,0.3385796515509009
4578,195514,7,7,6,9152,9156,0,6.,0.37046526835197613
4578,195515,7,7,7,9152,9156,0,7.,0.3385796515509009
4581,195516,7,7,6,9158,9162,0,6.,0.37046526835197613
4581,195517,7,7,7,9158,9162,0,7.,0.3385796515509009
4578,195518,7,7,7,9152,9156,0,7.,0.3385796515509009
4581,195519,7,7,6,9158,9162,0,6.,0.37046526835197613
4578,195520,7,7,5,9152,9156,0,5.,0.4194743910444696
4578,195521,7,7,6,9152,9156,0,6.,0.37046526835197613
4581,195522,7,7,5,9158,9162,0,5.,0.4194743910444696
4581,195523,7,7,6,9158,9162,0,6.,0.37046526835197613
4578,195524,7,7,6,9152,9156,0,6.,0.37046526835197613
4581,195525,7,7,6,9158,9162,0,6.,0.37046526835197613
4581,195526,7,7,6,9158,9162,0,6.,0.37046526835197613
4581,195527,7,7,6,9158,9162,0,6.,0.37046526835197613
4578,195528,7,7,6,9152,9156,0,6.,0.37046526835197613
5136,195529,6,7,7,9826,10272,0.271028037,6.,0.6492327017276365
4581,195530,N,N,N,9158,9162,0,0,0
4578,195531,N,N,N,9152,9156,0,0,0
5136,195532,6,6,7,9826,10272,0.271028037,6.,0.6492327017276365
5138,195533,5,6,5,9829,10275,0.261682243,5.,0.6872164174451227
5138,195534,3,6,4,9829,10275,0.261682243,3.,0.8392874191220777
5138,195535,4,6,6,9829,10275,0.261682243,4.,0.7588328068255502
4578,195536,7,6,6,9152,9156,0,6.,0.37046526835197613
4581,195537,7,6,6,9158,9162,0,6.,0.37046526835197613
4578,195538,6,6,6,9152,9156,0,6.,0.37046526835197613
4581,195540,5,7,6,9158,9162,0,5.,0.4194743910444696
4642,195541,6,7,6,9186,9217,0.210280374,6.,0.5672319004673385
4647,195542,5,7,6,9192,9218,0.257009346,5.,0.6814415465088924
4647,195543,5,7,6,9192,9218,0.257009346,5.,0.6814415465088924
4642,195544,5,7,7,9186,9217,0.210280374,5.,0.6162410231598319
4647,195545,5,6,6,9192,9218,0.257009346,5.,0.6814415465088924
4647,195546,5,7,6,9192,9218,0.257009346,5.,0.6814415465088924
4642,195547,5,7,6,9186,9217,0.210280374,5.,0.6162410231598319
4642,195548,5,7,6,9186,9217,0.210280374,5.,0.6162410231598319
4647,195549,4,7,6,9192,9218,0.257009346,4.,0.7530579358893199
4642,195550,6,7,6,9186,9217,0.210280374,6.,0.5672319004673385
4647,195551,6,7,6,9192,9218,0.257009346,6.,0.632432423816399
4647,195552,6,7,6,9192,9218,0.257009346,6.,0.632432423816399
4642,195553,6,7,6,9186,9217,0.210280374,6.,0.5672319004673385
4642,195554,6,7,6,9186,9217,0.210280374,6.,0.5672319004673385
4647,195555,6,7,6,9192,9218,0.257009346,6.,0.632432423816399
4626,195556,5,7,6,9217,9251,0.210280374,5.,0.6162410231598319
4629,195557,5,7,6,9218,9254,0.471962617,5.,0.793800429703387
4626,195558,5,7,6,9217,9251,0.210280374,5.,0.6162410231598319
4629,195559,5,7,6,9218,9254,0.471962617,5.,0.793800429703387
4629,195560,5,7,6,9218,9254,0.471962617,5.,0.793800429703387
4626,195561,5,7,6,9217,9251,0.210280374,5.,0.6162410231598319
4629,195562,5,7,6,9218,9254,0.471962617,5.,0.793800429703387
4626,195563,5,7,6,9217,9251,0.210280374,5.,0.6162410231598319
4626,195564,5,7,6,9217,9251,0.210280374,5.,0.6162410231598319
4629,195565,5,7,6,9218,9254,0.471962617,5.,0.793800429703387
4626,195566,5,7,6,9217,9251,0.210280374,5.,0.6162410231598319
4629,195567,5,7,6,9218,9254,0.471962617,5.,0.793800429703387
4626,195568,4,5,6,9217,9251,0.210280374,4.,0.6878574125402593
4595,195571,5,8,6,9167,9186,0.261682243,5.,0.6872164174451227
4598,195572,4,6,7,9169,9192,0.280373832,4.,0.7801539083853822
4595,195573,6,5,7,9167,9186,0.261682243,5.,0.6872164174451227
4587,195574,5,7,6,9158,9169,0.140186916,5.,0.516629112325488
4593,195575,5,7,6,9167,9186,0.261682243,5.,0.6872164174451227
4587,195576,5,7,6,9158,9169,0.140186916,5.,0.516629112325488
4584,195577,5,8,6,9152,9167,0.299065421,5.,0.726873031755179
4587,195578,7,7,7,9158,9169,0.140186916,7.,0.4357343728319194
4584,195579,6,5,7,9152,9167,0.299065421,5.,0.726873031755179
